id,name,nationality,email,dept_id,advisor_id
949,Jose Richards,Taiwan,reynoldscharlotte@example.org,3,7
950,Amy Martinez,American Samoa,gary25@example.org,4,9
951,Nicole Brennan,Bahrain,joseph07@example.net,2,8
952,Amy Perez,Uruguay,jonathanlopez@example.net,5,8
953,William Parker,Burundi,lscott@example.net,5,2
954,Brittany Frazier,,aaronacosta@example.org,2,9
955,Devin Huang,Taiwan,benjamin87@example.com,3,5
956,Brooke Hall,,jeremy65@example.org,2,4
957,Grant Wolfe,Ukraine,katherine69@example.net,2,9
958,Candace Stone,Japan,valeriemason@example.net,1,3
959,Sarah Smith,New Zealand,whayes@example.net,3,8
960,Jeff West,Thailand,rcook@example.org,1,2
961,Michael Banks,,,1,8
962,Tiffany Stokes,Timor-Leste,dgonzalez@example.org,4,4
963,Jessica Gray,Ecuador,,1,4
964,Jessica Lin,Rwanda,maria52@example.com,1,3
965,Andrea Garner,Saint Vincent and the Grenadines,hdavid@example.com,5,1
966,Justin Ross,Armenia,burchstephen@example.com,4,5
967,Victoria Hicks,Serbia,cooperjoseph@example.net,3,6
968,Jacob Stewart,Mauritius,,1,10
969,Omar Copeland,Sri Lanka,,1,7
970,Anne Burke,,christinerose@example.com,1,7
971,Cathy Hansen,Iran,anthony43@example.com,1,6
972,Todd Dominguez,Slovakia (Slovak Republic),markgraham@example.com,4,2
973,Rebecca Hughes,Syrian Arab Republic,sanfordnicholas@example.com,1,9
974,Richard Kim,Japan,pbrown@example.org,2,8
975,Bradley Gonzalez,Guyana,jjohnson@example.org,4,5
976,Leslie Cohen,Saint Vincent and the Grenadines,kimberly14@example.org,3,3
977,John Thomas,,lorozco@example.org,2,1
978,Robert Williams,Sweden,,2,4
979,Ashley Lee,,luiscollins@example.net,2,3
980,Barbara Jefferson,Sudan,kathy38@example.org,3,2
981,Deborah Williams,Ghana,teresahamilton@example.com,4,1
982,Edwin Gamble,Puerto Rico,smithanita@example.com,3,10
983,Courtney Ramirez,Czech Republic,mjohnson@example.net,1,4
984,Briana Johnson,,savannahholmes@example.org,2,8
985,Tiffany Fletcher,Kyrgyz Republic,trobinson@example.org,5,3
986,Barbara Mcdowell,United States Minor Outlying Islands,esparzarichard@example.net,2,1
987,Cindy Gibson,Comoros,jacobsamanda@example.org,1,7
988,Jerry Davis,Jersey,nataliebrown@example.net,4,2
989,Crystal Cohen,Austria,moorejody@example.com,2,6
990,Jessica Martinez,Niue,,5,7
991,Karen Webb,Puerto Rico,dunnlorraine@example.net,4,10
992,James Smith,Vietnam,barbaranunez@example.org,1,9
993,Katie Anderson,,waltonmatthew@example.net,1,2
994,Kimberly Roach,,jorgelawson@example.com,3,6
995,William Williams,Azerbaijan,michaelmay@example.net,1,8
996,Michael Carr,Reunion,kathleen19@example.org,5,5
997,Katherine Garza,Anguilla,joanna90@example.net,4,3
998,William Hess,Portugal,,3,6
999,Tiffany Lee,Anguilla,ebennett@example.net,3,6
1000,Alexandra Hunter,Saint Lucia,sharirodriguez@example.org,4,9
